"委員会","","ふりがな"
"文教子ども家庭委員会","03_常任","ぶんきょうこどもかていいいんかい"
"福祉健康委員会","03_常任","ふくしけんこういいんかい"
"総務区民委員会","03_常任","そうむくみんいいんかい"
"文化観光産業特別委員会","04_特別","ぶんかかんこうさんぎょうとくべついいんかい"
"自治・議会・行財政改革等特別委員会","04_特別","じち・ぎかい・ぎょうざいせいかいかくなどとくべついいんかい"
"防災等安全対策特別委員会","04_特別","ぼうさいなどあんぜんたいさくとくべついいんかい"
"議会運営委員会","03_常任","ぎかいうんえいいいんかい"
"定例会","05_その他","ていれいかい"
"環境建設委員会","03_常任","かんきょうけんせついいんかい"
"決算特別委員会","02_予算/決算","けっさんとくべついいんかい"
"予算特別委員会","02_予算/決算","よさんとくべついいんかい"
"オリンピック・パラリンピック・文化観光等特別委員会","04_特別","おりんぴっく・ぱらりんぴっく・ぶんかかんこうなどとくべついいんかい"
"臨時会","05_その他","りんじかい"
"総務区民委員会・環境建設委員会連合審査会","05_その他","そうむくみんいいんかい・かんきょうけんせついいんかいれんごうしんさかい"
"議会・行財政改革特別委員会","04_特別","ぎかい・ぎょうざいせいかいかくとくべついいんかい"
"自治・地方分権特別委員会","04_特別","じち・ちほうぶんけんとくべついいんかい"
"文教委員会","03_常任","ぶんきょういいんかい"
"自治基本条例検討小委員会","03_常任","じちきほんじょうれいけんとうしょういいんかい"
"災害等対策特別委員会","04_特別","さいがいなどたいさくとくべついいんかい"
"地方分権・行政改革特別委員会","04_特別","ちほうぶんけん・ぎょうせいかいかくとくべついいんかい"
"第２次議会改革を進める小委員会","03_常任","だいにつぎぎかいかいかくをすすめるしょういいんかい"
"災害等対策特別民委員会","03_常任","さいがいなどたいさくとくべつたみいいんかい"
"議会改革を進める小委員会","03_常任","ぎかいかいかくをすすめるしょういいんかい"
"議員政治倫理条例に関する懇談会","05_その他","ぎいんせいじりんりじょうれいにかんするこんだんかい"
"福祉衛生委員会","03_常任","ふくしえいせいいいんかい"
"公有地等対策特別委員会","04_特別","こうゆうちなどたいさくとくべついいんかい"
"治水・防災まちづくり特別委員会","04_特別","ちすい・ぼうさいまちづくりとくべついいんかい"
"環境建設委員会懇談会","05_その他","かんきょうけんせついいんかいこんだんかい"
"総合運動場対策特別委員会","04_特別","そうごううんどうじょうたいさくとくべついいんかい"
"定住促進対策特別委員会","04_特別","ていじゅうそくしんたいさくとくべついいんかい"
"公有地等利用促進対策特別委員会","04_特別","こうゆうちなどりようそくしんたいさくとくべついいんかい"
"自治権拡充対策特別委員会","04_特別","じちけんかくじゅうたいさくとくべついいんかい"
"治水・防災対策特別委員会","04_特別","ちすい・ぼうさいたいさくとくべついいんかい"
"交通対策特別委員会","04_特別","こうつうたいさくとくべついいんかい"
"文教委員委会","05_その他","ぶんきょういいんいかい"
"建設環境委員会","03_常任","けんせつかんきょういいんかい"
"区民健康村建設特別委員会","04_特別","くみんけんこうむらけんせつとくべついいんかい"
"総務環境委員会","03_常任","そうむかんきょういいんかい"
"定住促進地策特別委員会","04_特別","ていじゅうそくしんちさくとくべついいんかい"
"自治権拡大対策特別委員会","04_特別","じちけんかくだいたいさくとくべついいんかい"
"議会情報公開検討小委員会","03_常任","ぎかいじょうほうこうかいけんとうしょういいんかい"
"治水・防水対策特別委員会","04_特別","ちすい・ぼうすいたいさくとくべついいんかい"
